Fecha,trend
02/01/1997,
03/01/1997,
06/01/1997,
07/01/1997,
08/01/1997,
09/01/1997,
10/01/1997,
13/01/1997,
14/01/1997,
15/01/1997,
16/01/1997,
17/01/1997,
20/01/1997,
21/01/1997,
22/01/1997,
23/01/1997,
24/01/1997,
27/01/1997,
28/01/1997,
29/01/1997,
30/01/1997,
31/01/1997,
03/02/1997,
04/02/1997,
05/02/1997,
06/02/1997,
07/02/1997,
10/02/1997,
11/02/1997,
12/02/1997,
13/02/1997,
14/02/1997,
17/02/1997,
18/02/1997,
19/02/1997,
20/02/1997,
21/02/1997,
24/02/1997,
25/02/1997,
26/02/1997,
27/02/1997,
28/02/1997,
03/03/1997,
04/03/1997,
05/03/1997,
06/03/1997,
07/03/1997,
10/03/1997,
11/03/1997,
12/03/1997,
13/03/1997,
14/03/1997,
17/03/1997,
18/03/1997,
19/03/1997,
20/03/1997,
21/03/1997,
24/03/1997,
25/03/1997,
26/03/1997,
27/03/1997,
28/03/1997,
31/03/1997,
01/04/1997,
02/04/1997,
03/04/1997,
04/04/1997,
07/04/1997,
08/04/1997,
09/04/1997,
10/04/1997,
11/04/1997,
14/04/1997,
15/04/1997,
16/04/1997,
17/04/1997,
18/04/1997,
21/04/1997,
22/04/1997,
23/04/1997,
24/04/1997,
25/04/1997,
28/04/1997,
29/04/1997,
30/04/1997,
01/05/1997,
02/05/1997,
05/05/1997,
06/05/1997,
07/05/1997,
08/05/1997,
09/05/1997,
12/05/1997,
13/05/1997,
14/05/1997,
15/05/1997,
16/05/1997,
19/05/1997,
20/05/1997,
21/05/1997,
22/05/1997,
23/05/1997,
26/05/1997,
27/05/1997,
28/05/1997,
29/05/1997,
30/05/1997,
02/06/1997,
03/06/1997,
04/06/1997,
05/06/1997,
06/06/1997,
09/06/1997,
10/06/1997,
11/06/1997,
12/06/1997,
13/06/1997,
16/06/1997,
17/06/1997,
18/06/1997,
19/06/1997,
20/06/1997,
23/06/1997,
24/06/1997,
25/06/1997,
26/06/1997,
27/06/1997,
30/06/1997,
01/07/1997,
02/07/1997,
03/07/1997,
04/07/1997,
07/07/1997,
08/07/1997,
09/07/1997,
10/07/1997,
11/07/1997,
14/07/1997,
15/07/1997,
16/07/1997,
17/07/1997,
18/07/1997,
21/07/1997,
22/07/1997,
23/07/1997,
24/07/1997,
25/07/1997,
28/07/1997,
29/07/1997,
30/07/1997,
31/07/1997,
01/08/1997,
04/08/1997,
05/08/1997,
06/08/1997,
07/08/1997,
08/08/1997,
11/08/1997,
12/08/1997,
13/08/1997,
14/08/1997,
15/08/1997,
18/08/1997,
19/08/1997,
20/08/1997,
21/08/1997,
22/08/1997,
25/08/1997,
26/08/1997,
27/08/1997,
28/08/1997,
29/08/1997,
01/09/1997,
02/09/1997,
03/09/1997,
04/09/1997,
05/09/1997,
08/09/1997,
09/09/1997,
10/09/1997,
11/09/1997,
12/09/1997,
15/09/1997,2.7040027397260276
